X,Y,R,G,B
400,418,158,0,0
401,418,154,1,0
402,418,155,0,0
403,418,155,0,0
404,418,155,0,0
405,418,157,0,0
406,418,157,0,0
407,418,157,0,0
408,418,158,0,0
409,418,161,0,0
410,418,162,0,0
411,418,163,0,0
412,418,163,0,0
393,419,164,1,0
396,419,164,0,0
397,419,164,0,0
398,419,164,0,0
399,419,161,2,0
400,419,149,0,0
401,419,146,1,0
402,419,146,1,0
403,419,146,1,0
404,419,148,0,0
405,419,148,0,0
406,419,148,0,0
407,419,148,1,0
408,419,150,1,0
409,419,152,0,0
410,419,153,1,0
411,419,154,1,0
412,419,155,0,0
413,419,157,0,0
414,419,157,0,0
415,419,158,1,0
416,419,157,0,0
417,419,161,0,0
400,420,154,0,0
401,420,151,1,2
402,420,151,1,2
403,420,151,1,2
404,420,151,1,2
405,420,151,1,0
406,420,151,1,0
407,420,153,1,0
408,420,153,1,0
409,420,155,1,0
410,420,156,2,0
411,420,157,2,0
412,420,159,1,0
413,420,160,1,0
414,420,160,1,0
415,420,158,3,1
416,420,155,3,0
417,420,159,1,0
399,421,165,0,1
400,421,153,0,0
401,421,151,0,1
402,421,151,0,1
403,421,151,0,1
404,421,151,0,0
405,421,151,0,0
406,421,151,0,0
407,421,151,0,0
408,421,152,0,0
409,421,153,0,0
410,421,155,0,0
411,421,155,0,0
412,421,157,0,0
413,421,158,0,0
414,421,158,0,0
415,421,158,0,0
416,421,154,0,0
417,421,158,0,0
400,422,157,0,3
401,422,154,0,5
402,422,153,0,3
403,422,153,0,3
404,422,153,0,3
405,422,153,0,3
406,422,153,0,3
407,422,153,0,2
408,422,154,0,2
409,422,155,1,3
410,422,157,1,2
411,422,157,1,2
412,422,159,1,2
413,422,159,1,2
414,422,160,0,2
415,422,161,1,3
416,422,162,0,4
396,423,165,0,1
397,423,165,0,1
398,423,165,0,1
399,423,163,0,3
400,423,154,0,2
401,423,152,0,4
402,423,150,0,2
403,423,150,0,2
404,423,150,0,2
405,423,150,0,2
406,423,150,0,2
407,423,150,0,1
408,423,151,0,0
409,423,152,0,1
410,423,154,0,0
411,423,154,0,0
412,423,155,0,0
413,423,155,0,0
414,423,157,0,0
415,423,159,0,1
416,423,163,0,3
393,424,163,1,0
394,424,163,1,0
395,424,163,1,0
396,424,163,0,1
397,424,161,1,1
398,424,161,2,0
399,424,160,2,1
400,424,152,0,1
401,424,149,0,2
402,424,149,0,2
403,424,149,0,2
404,424,147,1,1
405,424,147,1,1
406,424,147,1,1
407,424,147,1,1
408,424,148,0,0
409,424,150,2,0
410,424,152,2,1
411,424,151,1,0
412,424,153,1,0
413,424,154,2,0
414,424,154,0,0
415,424,156,0,0
416,424,165,0,1
393,425,164,2,0
394,425,164,2,0
395,425,162,3,0
396,425,162,2,2
397,425,162,3,0
