11-Na-22;511.006,1274.53;178.0,99.944;
27-Co-60;1173.237,1332.501;99.9736,99.9856;
31-Ga-67;93.311,184.577,208.951,300.219,393.529;39.2,21.2,2.40,16.80,4.68;
35-Br-85;802.41,861.76,919.06,924.63,1727.02;2.56,0.228,0.65,1.63,0.38;
36-Kr-85;513.997;0.435;
36-Kr-85m;129.81,151.195,304.87;0.300,75.0,14.0;
40-Zr-95;235.69,724.193,756.729;0.27,44.27,54.38;
41-Nb-94;702.639,871.114;99.815,99.892;
41-Nb-95;765.803;99.808;
41-Nb-95m;235.69;25.1;
43-Tc-99m;140.511;89.06;
44-Ru-103;39.760,53.275,294.98,443.80,497.08,557.04,610.33;0.071,0.384,0.289,0.344,91.31,0.855,5.78;
50-Sn-121m;37.15;1.85;
51-Sb-122;564.24,692.65,1140.67,1256.93;70.68,3.85,0.76,0.81;
51-Sb-124;602.7275,645.8537,709.320,713.781,722.7842,790.711,968.199,1045.128,1325.508,1355.175,1368.160,1436.561,1488.888,1690.975,2090.936;98.3,7.46,1.360,2.287,10.81,0.743,1.892,1.841,1.588,1.043,2.623,1.222,0.675,47.79,5.51;
51-Sb-125;176.314,380.452,427.874,463.365,600.597,606.713,635.950,671.441;6.82,1.520,29.55,10.48,17.76,5.02,11.32,1.783;
53-I-129;39.578;7.42;
53-I-131;284.305,364.489,636.989,722.911;6.14,81.7,7.17,1.7729;80.185
53-I-133;262.70,422.903,510.530,529.8709,617.978,680.252,706.575,768.360,856.278,875.328,1052.393,1236.443,1298.227;0.356,0.309,1.81,86.3,0.539,0.645,1.49,0.457,1.23,4.47,0.551,1.49,2.33;
54-Xe-131m;163.930;1.98;
55-Cs-134;563.243,569.327,604.720,795.83,801.945,1365.186;8.37,15.38,97.650,85.5,8.70,3.017;
55-Cs-137;661.657;85.1;
56-Ba-133;53.162,80.997,160.611,276.400,302.851,356.013,383.848;2.199,34.06,0.645,7.164,18.33,62.05,8.94;
56-Ba-140;29.9656,132.6972,162.6628,304.872,423.721,437.569,537.303;14.32,0.201,6.26,4.30,3.11,1.927,24.39;
57-La-140;328.761,432.513,487.022,751.653,815.781,867.839,919.533,925.198,950.988,1596.203,2347.847,2521.390;20.8,2.995,46.1,4.392,23.72,5.58,2.730,7.04,0.531,95.40,0.845,3.412;
58-Ce-141;145.4433;48.29;
58-Ce-144;33.568,40.98,80.12,133.515;0.235,0.41,1.52,11.09;
59-Pr-144;696.505,1489.148,2185.645;1.342,0.296,0.680;
61-Pm-147;121.220;0.00285;
61-Pm-148;550.27,611.26,896.42,914.85,1465.12;22.0,1.02,0.98,11.5,22.2;
61-Pm-148m;98.48,189.63,288.11,311.63,414.07,432.78,501.26,550.27,599.74,611.26,629.97,725.70,915.33,1013.81;2.47,1.10,12.56,3.92,18.66,5.35,6.75,94.9,12.54,5.48,89.0,32.8,17.17,20.3;
63-Eu-152;121.7817,244.6974,344.2785,411.1165,443.965,778.9045,867.380,964.072,1085.837,1089.737,1112.076,1212.948,1299.142,1408.013;28.41,7.55,26.58,2.237,3.125,12.96,4.241,14.62,10.13,1.731,13.40,1.415,1.632,20.85;
