X,Y,Z,Energy
-1885,174,51,99054
1125,-364,986,190425
1695,-174,991,189247
-554,1125,261,158178
554,-1125,975,155109
1505,-1885,980,200507
1382,837,502,659093
1315,-1695,982,120960
1125,-1885,954,670233
364,-2076,992,367578
174,744,993,118517
1125,1315,137,408608
1505,174,477,41785
1505,174,387,47993
1505,174,172,46273
1505,174,663,47480
-174,1505,227,145652
744,-1695,990,389561
201,-406,899,637627
1505,744,979,117929
174,934,90,134549
-744,2076,590,371977
-2076,174,345,373744
-1885,1885,554,40342
-1505,744,977,456687
174,174,751,242840
-174,174,925,409807
-934,934,458,661632
554,1885,998,33779
1315,-1524,996,432616
1885,1885,874,194515
1760,-744,977,225729
1505,2076,121,116814
554,1695,243,186263
1505,934,148,42454
364,-1505,984,371563
1505,934,148,39579
1505,1315,737,128146
2075,174,978,45343
2076,-554,990,215122
1505,934,982,33848
1885,-364,995,33295
1315,934,990,36098
878,-744,977,238889
-311,1695,515,640802
2075,1695,994,103831
1315,-1885,986,120782
934,2076,138,264692
174,1235,128,310160
1505,-1695,991,150956
1315,1885,538,424844
174,-174,992,643974
1885,-364,997,32829
1125,-554,976,94674
-654,1315,606,272182
-744,2076,320,192861
934,1315,165,64885
-1505,1242,975,664895
174,-1505,988,41399
-1505,1505,76,226164
-364,174,896,112367
1505,174,982,152091
2076,-1695,981,92687
554,-1315,976,152561
364,2076,312,494020
364,1885,859,100363
174,-1505,975,66865
-934,174,189,230389
1695,1125,439,84402
1315,-1505,982,320154
1505,364,909,419881
-2076,848,481,661549
-2076,1273,831,408014
2076,-934,983,297237
1505,934,492,49412
1695,-1885,995,224472
1885,934,775,167377
1125,2076,992,96603
1125,-1125,985,55314
364,-1885,997,91883
1505,174,929,47993
2076,-1103,913,338080
934,1505,358,60142
-364,934,712,481012
1505,174,989,62819
-1472,174,427,390231
245,-1960,864,855400
174,174,341,57219
174,1885,535,116150
-174,1885,981,187737
2076,-554,983,431552
1505,174,713,73420
1885,-364,997,32596
1885,-364,990,32596
1885,-364,990,38187
1505,174,988,48229
1505,174,396,42057
1505,174,667,42097
1505,174,92,51146
-1695,1695,663,484600
1505,174,596,50477
1505,174,820,44299
2076,-1315,287,405651
364,554,400,137315
2075,1885,841,77670
1885,-364,993,33528
1885,-364,984,32596
1885,-364,977,34227
1315,2076,806,183027
554,-1315,990,66139
1576,1315,297,651128
554,2076,856,264340
-744,1505,672,270206
1505,174,505,48107
1505,174,169,47080
1505,174,810,41852
1505,174,693,43259
-1695,1315,838,157415
-1125,744,329,489897
-1885,744,223,70378
-364,1505,143,232419
-1954,744,422,441982
-1695,2076,860,635331
364,-364,980,79387
-2076,1315,136,86811
364,1125,322,187931
-1125,1695,998,214266
174,2076,110,47775
-934,1885,527,243766
364,2076,273,267862
-1315,174,995,192225
554,-554,982,247407
508,364,619,407250
174,-1315,996,198538
1505,-1125,982,203304
1315,934,990,33655
-364,1505,730,37934
1315,934,557,36600
1315,934,877,34706
1315,934,989,36831
1315,934,977,33899
-2076,1315,136,226709
1315,934,149,38661
1315,934,271,39080
-1602,1695,370,614978
1315,934,986,38541
1315,934,982,35121
1315,934,694,33300
364,-554,986,137341
-1885,744,565,310561
364,-1695,995,76969
-174,1885,831,44199
744,-1358,966,176639
2075,934,471,223742
-1885,744,457,385928
-744,364,110,137710
364,-364,999,195333
1315,934,982,39762
1315,934,997,38296
1315,934,984,34144
-174,1125,521,437475
2076,-554,987,445016
-2076,364,167,164815
-934,554,813,399933
364,364,804,252865
1125,-174,978,199552
934,744,239,207879
-174,1315,365,223784
-1885,1505,81,179846
1885,-329,881,618204
174,-174,976,116564
1505,-364,990,82897
-554,2076,196,45266
2075,2076,126,76994
-1352,1125,457,236249
1340,174,985,503228
-1695,554,92,212381
174,744,914,309190
1315,1885,646,33558
1885,-364,999,36556
364,174,492,73865
-1885,1885,710,202868
2075,934,298,578931
-1217,1695,587,662270
-1695,744,914,171782
934,-1315,991,428376
-2076,934,846,104950
-2075,-174,979,13304
934,1505,282,664416
1315,934,342,34566
-1607,1315,655,658758
-744,1695,234,202488
1505,174,931,430898
-1505,744,983,162429
934,1505,587,438684
-174,554,81,236177
1885,1695,135,179985
1695,-174,990,60183
-934,554,523,265770
934,-744,990,80455
-1580,744,639,338234
1125,2076,139,142450
364,-2076,982,87008
554,-744,999,117036
1125,364,182,378892
-206,618,811,294352
-554,1885,735,298540
1315,1979,621,236705
554,-1695,997,234219
1605,-1315,951,87238
1315,-934,982,568639
1315,-2076,978,41098
1885,744,102,357152
934,-174,977,196961
364,-2076,990,155107
-1505,-1505,984,14792
-1125,1505,917,230463
-554,1125,163,418975
-744,1581,888,255437
1885,364,86,73107
1315,-364,996,71349
364,744,114,97669
-2076,1505,849,119380
1125,2076,142,76337
2076,-1315,987,356927
744,1885,584,163489
1315,554,100,195445
554,2076,910,262635
-1505,364,722,664026
-934,-1505,985,13667
-934,174,177,254569
2076,-1505,990,77829
554,2076,167,155470
2075,554,994,480642
1885,-364,989,76390
934,1695,303,381337
934,1315,428,85146
2076,-1505,979,316861
1125,-1125,995,584983
744,-1695,991,107088
2076,-744,996,206764
-364,1885,921,152924
554,491,134,218471
2076,-2076,980,607002
-1505,1315,603,663703
1695,-2076,983,192062
364,554,717,211156
1505,174,99,86104
-174,1885,989,35772
744,2076,136,513317
174,1885,382,661829
1315,-1315,999,99586
934,1618,774,236943
1125,934,802,155157
554,934,951,144719
934,1695,217,494249
1505,554,980,53183
1315,-2076,980,130164
-1505,174,714,279805
934,1885,624,34830
2075,1315,666,183111
364,-1885,991,513077
1505,-1505,999,74758
934,-1558,996,145892
1885,174,87,204286
-174,1125,321,354523
174,2011,491,215394
2076,-1315,996,139535
1315,2076,982,51481
174,-1885,976,579109
2076,-1125,984,272040
1695,-1695,995,151324
1505,-1125,998,121592
-934,1125,103,439374
1505,1125,980,34933
1695,1125,896,107486
1695,-554,997,99269
934,-554,996,658461
2075,607,760,167123
1505,174,284,47326
1505,-1125,989,389441
-364,518,872,456407
2006,1695,226,185526
1125,-364,978,147900
934,-1885,993,631217
1125,-744,998,132808
-797,1315,382,139603
744,-1695,980,662174
2075,934,842,254178
-1885,364,538,262125
-1695,1885,936,111306
2076,-554,998,198416
1885,174,491,384448
1695,-364,995,143726
2075,1315,143,193074
1885,934,497,671702
-1070,1315,251,676045
1315,-1505,991,34540
1315,-174,982,218485
1885,2076,219,85606
-2076,1315,978,244533
-174,364,265,250058
-744,174,368,657847
1125,-1505,975,42367
1315,934,990,45136
1315,-364,982,155460
1315,-1885,993,298371
934,1125,352,313227
-174,1885,280,335934
934,-934,996,32922
-174,174,82,106083
-2076,1315,710,455459
-554,1252,513,336551
934,1885,510,277143
1505,-2076,987,38171
1315,744,662,203804
174,-1695,991,174786
-1315,364,931,223600
1695,-364,979,216743
174,-1315,986,32089
934,-2076,978,100485
1505,-1125,990,640503
554,869,443,158444
-2076,1125,998,165834
-934,1125,933,322279
-2076,554,758,88013
744,-1505,992,659207
934,-174,976,108363
1125,-174,994,612261
-2076,1315,135,134302
-1505,364,268,60505
606,-934,977,356453
-2076,1315,821,81170
554,744,776,78181
-1885,-554,990,21409
1315,1695,347,386092
1125,1315,831,84206
1885,1505,172,360353
1125,-1885,987,147745
-554,-1695,104,734929
554,1315,735,59897
1315,554,742,652037
-744,1885,110,226024
-364,1125,954,225119
934,1885,991,113042
1125,1695,765,114587
744,-1125,995,218323
2075,174,108,41835
-364,554,257,268692
2075,1195,188,669613
1125,1695,141,361200
-554,2076,640,231639
174,-934,985,207105
1315,174,352,272248
-934,1505,823,339709
174,-364,994,36495
-1695,364,773,404369
554,-1315,983,661972
-934,1695,880,177194
530,-364,609,655690
554,-174,984,184097
-554,2076,546,195018
2076,-1695,994,121978
-554,364,652,660965
-934,744,376,227430
1315,174,634,212783
-364,1505,962,152344
-1315,174,549,153169
-1695,554,280,33489
174,1695,977,148870
934,-934,982,181004
1315,554,993,87694
1505,1695,450,218275
-934,364,222,222302
2075,1695,800,305625
-1695,934,183,653283
-744,1756,789,115891
-174,554,597,222677
1885,-364,976,33528
-934,744,480,660105
-744,2076,146,322789
554,-1733,904,292717
-1315,364,303,170502
1094,-174,979,346871
984,2076,501,664713
1505,-174,976,98421
2076,-744,986,212572
934,1505,139,763245
-174,1125,457,383169
554,934,883,229281
-1695,2076,80,211772
2075,1695,347,519832
-554,174,294,165135
-174,554,113,437492
364,364,77,128379
-2076,1505,90,171829
1775,1505,154,431640
1885,-364,997,32363
-1505,2076,750,340844
-1505,1885,75,192281
1505,1695,126,54970
-1125,364,423,34966
2076,-554,986,175227
-1885,1695,920,143816
1801,-1885,936,619892
934,1125,342,192254
2075,1695,816,102237
934,744,212,113638
1505,174,781,45233
1315,-744,977,629117
1505,174,723,46257
-174,934,77,216892
1505,934,994,297560
-2076,1598,989,71017
-934,1505,350,41267
1505,174,468,41563
-1885,174,438,429314
-1695,1695,992,573317
1505,1885,139,126878
1505,174,94,48835
1505,174,92,52879
-1218,1315,359,669448
1505,174,515,41481
1505,174,96,50279
1505,174,800,48459
1505,174,82,50568
1505,174,366,42928
1505,174,274,43887
1505,174,994,52185
1125,-934,981,70460
-1695,174,822,181508
-934,174,981,198166
1279,-1315,972,656634
2076,-1695,984,643051
1505,174,882,49412
1505,364,246,261379
174,-1315,997,105076
478,1366,475,388313
554,174,285,135782
-1421,744,158,285892
-1505,1315,942,206089
-174,174,933,413035
-934,744,547,88088
-744,-364,994,16458
1695,1505,988,178957
1125,-1695,999,222637
-1505,744,428,82388
-2076,2076,143,216641
-2076,364,475,166605
1315,934,916,33253
364,-2076,985,207110
1695,-1108,939,657772
934,-554,989,172576
744,1885,653,658739
1580,1125,634,658793
1315,744,834,156571
1315,-364,990,292327
-1315,364,884,110462
1885,1885,904,397780
1885,-364,987,33528
1885,554,82,261905
934,-174,978,229291
1505,-1284,930,294816
1885,744,624,178204
1315,-364,993,262962
934,1125,535,135741
744,2076,978,94101
-1315,1125,95,66321
-934,1695,107,63683
174,1640,220,667843
744,-174,980,145325
-744,1125,529,289334
1125,-2076,986,657247
-1505,1885,278,657461
744,1125,978,88727
364,1125,451,100102
554,-2076,985,431402
1695,-554,980,185091
1695,-554,989,209053
1695,1695,858,73851
-1281,1315,801,206159
-174,174,824,397362
364,554,992,75716
-1315,2076,730,95545
364,-744,995,213900
